Genome	Sample1	Sample9	Sample10	Sample11	Sample6	Sample8	Sample12	Sample14	Sample3	Sample13	Sample7	Sample15	Sample5	Sample2	Sample4
Sample1.13	3418070	3417949	3417928	3417919	2239	3417922	3417956	3417934	3417905	3417877	3417939	3417947	2300	3417928	2391
Sample1.6	1269898	1269951	1269999	1269963	1269645	1270006	1270024	1269986	1269828	1269972	1269991	1269992	1269712	1269903	1269659
Sample13.3	3630	2358211	2358070	2358108	2356368	2358066	2358190	2358142	3246	2358680	2358169	2357969	2356721	3418	2356268
Sample13.5	3821269	3821549	3821545	3821556	3821254	3821590	3821540	3821544	3820946	3821604	3821545	3821552	3821363	3821159	3821280
Sample2.16	1456456	1456461	1456463	1456429	1456458	1456462	1456446	1456463	1456443	1456443	1456463	1456462	1456455	1456463	1456450
Sample3.10	2990291	0	0	0	452	0	150	0	3007759	0	0	0	316	2987536	145
Sample3.11	2570823	2571287	2571258	2571283	1106913	2571299	2571297	2571300	2571257	2571296	2571313	2571310	949910	2570723	981475
Sample4.13	712522	178	179	265	2239472	180	265	178	150	184	237	180	2239509	692952	2239984
Sample4.14	1753046	1750336	1750561	1750215	1752669	1751090	1750580	1750611	1753046	1750447	1750725	1750548	1752796	1753053	1753158
Sample4.3	3608397	3153585	3206286	3164894	3608757	3210047	3194632	3607618	3608701	3607661	3199348	3607658	3608690	3608579	3609395
Sample4.4	2591698	2543051	2554227	2554645	2592094	2527715	2551923	2560113	2591923	2553612	2526577	2555412	2592073	2591200	2592177
Sample5.6	4934279	2048	4521232	4790280	4934204	2154	4539400	4563852	4934294	4541444	2208	4527216	4934995	4934112	4933602
Sample5.9	2342772	2343015	2343019	2342986	2342864	2343001	2342974	2342794	2342796	2342851	2342989	2342823	2343153	2342921	2342977
Sample6.12	2895194	1751464	1894345	1936920	2895806	1872936	1920982	1931973	2895473	1905145	1863338	1952525	2895062	2895562	2895343
Sample6.2	3370005	10171	3199147	3221788	3370430	10157	3234167	3220925	3370223	3235117	10414	3231145	3370417	3370137	3370382
Sample8.10	15665	4226328	4226050	4226307	4168611	4226420	4226233	4226198	6302	4226004	4226249	4226153	4079440	6632	4113422
Sample9.9	2116670	2117611	2117575	2117585	448	2117574	2117586	2117544	2116509	2117569	2117553	2117581	422	2116739	398
