Genome	Sample1	Sample9	Sample10	Sample11	Sample6	Sample8	Sample12	Sample14	Sample3	Sample13	Sample7	Sample15	Sample5	Sample2	Sample4
Sample1.13	795207	904335	994253	967055	383	824102	938192	969432	858590	938015	823926	1016826	421	1025098	405
Sample1.6	297465	2276524	2397150	2489786	172220	2478162	2549221	2018233	320661	1956264	2478194	2108964	222919	286204	206336
Sample13.3	242	406039	331336	344706	265808	417392	338821	322446	313	338813	417488	306795	325792	289	301010
Sample13.5	356821	1102016	890542	909581	412821	1136487	885749	929866	326521	886090	1136509	966861	497058	430920	478761
Sample2.16	251720	631995	558554	577954	380682	569095	561277	548231	231450	561089	568693	533241	314111	434601	339651
Sample3.10	142923	0	0	0	5	0	1	0	153207	0	0	0	3	138608	1
Sample3.11	752684	2564900	2949231	3037827	9902	2643557	3118884	3009382	778813	3117932	2643787	3132001	8166	741132	8558
Sample4.13	5791	32	28	35	282662	38	36	30	1	43	40	40	258898	5533	240201
Sample4.14	1875291	337256	298102	304651	834188	353162	297468	309428	2054307	297481	353146	320883	1063323	1915703	981336
Sample4.3	496399	50129	53568	51363	614543	52974	52228	255845	481981	249110	52927	265900	751088	507622	716395
Sample4.4	315537	69053	75194	73125	493168	64257	73967	77380	345186	74016	64208	73147	453026	229915	422150
Sample5.6	951238	130	82722	119866	872903	115	84425	86915	1022099	84513	120	84188	781505	719714	728965
Sample5.9	2646240	4466687	3724938	3825477	3562303	4520613	3933022	1879735	3481173	1960261	4520737	1947432	3435282	2544954	3275263
Sample6.12	377977	18439	21143	21909	432083	20625	21246	21715	402219	21232	20527	22414	343652	569747	368437
Sample6.2	1509770	7934	74930	77936	2327810	8103	80253	76953	1835692	79961	8065	78709	1768424	1558802	1942562
Sample8.10	343	843962	708758	683075	124072	800482	705192	725972	314	704635	800350	761757	96761	394	103041
Sample9.9	207400	1499594	1654839	1705437	47	1466363	1733793	1793086	225436	1733705	1466339	1717120	28	214735	19
